Name,Value,Race,Index,Winner,Role,Film
Cate Blanchett,1998,White,2,Non-Winner,Queen Elizabeth I,Elizabeth
Meryl Streep,1998,White,3,Non-Winner,Kate Gulden,One True Thing
Emily Watson,1998,White,4,Non-Winner,Jacqueline du Pr,Hilary and Jackie
Hilary Swank,1999,White,1,Winner,Brandon Teena,Boys Dont Cry
Annette Bening,1999,White,2,Non-Winner,Carolyn Burnham,American Beauty
Janet McTeer,1999,White,3,Non-Winner,Mary Jo Walker,Tumbleweeds
Julianne Moore,1999,White,4,Non-Winner,Sarah Miles,The End of the Affair
Meryl Streep,1999,White,5,Non-Winner,Roberta Guaspari,Music of the Heart
Julia Roberts,2000,White,1,Winner,Erin Brockovich,Erin Brockovich
Joan Allen,2000,White,2,Non-Winner,Laine Hanson,The Contender
Juliette Binoche,2000,White,3,Non-Winner,Vianne Rocher,Chocolat
Ellen Burstyn,2000,White,4,Non-Winner,Sara Goldfarb,Requiem for a Dream
Laura Linney,2000,White,5,Non-Winner,Samantha Sammy Prescott,You Can Count On Me
Halle Berry,2001,Non-White,1,Winner,Leticia Musgrove,Monsters Ball
Judi Dench,2001,White,1,Non-Winner,Iris Murdoch,Iris
Nicole Kidman,2001,White,2,Non-Winner,Satine,Moulin Rouge
Sissy Spacek,2001,White,3,Non-Winner,Ruth Fowler,In the Bedroom
Rene Zellweger,2001,White,4,Non-Winner,Bridget Jones,Bridget Joness Diary
Salma Hayek,2002,Non-White,1,Non-Winner,Frida Kahlo,Frida
Nicole Kidman,2002,White,1,Winner,Virginia Woolf,The Hours
Diane Lane,2002,White,2,Non-Winner,Constance Connie Sumner,Unfaithful
Julianne Moore,2002,White,3,Non-Winner,Cathy Whitaker,Far from Heaven
Rene Zellweger,2002,White,4,Non-Winner,Roxie Hart,Chicago
Keisha CastleHughes,2003,Non-White,1,Non-Winner,Paikea Apirana,Whale Rider
Charlize Theron,2003,White,1,Winner,Aileen Lee Wuornos,Monster
Diane Keaton,2003,White,2,Non-Winner,Erica Jane Berry,Somethings Gotta Give
Samantha Morton,2003,White,3,Non-Winner,Sarah Sullivan,In America
Naomi Watts,2003,White,4,Non-Winner,Cristina WilliamsPeck,Grams
Catalina Sandino Moreno,2004,Non-White,1,Non-Winner,Mara lvarez,Maria Full of Grace
Hilary Swank,2004,White,1,Winner,Maggie Fitzgerald,Million Dollar Baby
Annette Bening,2004,White,2,Non-Winner,Julia Lambert,Being Julia
Imelda Staunton,2004,White,3,Non-Winner,Vera Rose Drake,Vera Drake
Kate Winslet,2004,White,4,Non-Winner,Clementine Kruczynski,Eternal Sunshine of the Spotless Mind
Reese Witherspoon,2005,White,1,Winner,June Carter Cash,Walk the Line
Judi Dench,2005,White,2,Non-Winner,Laura ForsterHenderson,Mrs Henderson Presents
Felicity Huffman,2005,White,3,Non-Winner,Sabrina Bree Osbourne,Transamerica
Keira Knightley,2005,White,4,Non-Winner,Elizabeth Bennet,Pride Prejudice
Charlize Theron,2005,White,5,Non-Winner,Josey Aimes,North Country
Helen Mirren,2006,White,1,Winner,Queen Elizabeth II,The Queen
Penlope Cruz,2006,White,2,Non-Winner,Raimunda,Volver
Judi Dench,2006,White,3,Non-Winner,Barbara Covett,Notes on a Scandal
Meryl Streep,2006,White,4,Non-Winner,Miranda Priestly,The Devil Wears Prada
Kate Winslet,2006,White,5,Non-Winner,Sarah Pierce,Little Children
Marion Cotillard,2007,White,1,Winner,dith Piaf,La Vie en Rose
Cate Blanchett,2007,White,2,Non-Winner,Queen Elizabeth I,Elizabeth The Golden Age
Julie Christie,2007,White,3,Non-Winner,Fiona Anderson,Away from Her
Laura Linney,2007,White,4,Non-Winner,Wendy Savage,The Savages
Ellen Page,2007,White,5,Non-Winner,Juno MacGuff,Juno
Kate Winslet,2008,White,1,Winner,Hanna Schmitz,The Reader
Anne Hathaway,2008,White,2,Non-Winner,Kym Buchman,Rachel Getting Married
Angelina Jolie,2008,White,3,Non-Winner,Christine Collins,Changeling
Melissa Leo,2008,White,4,Non-Winner,Ray Eddy,Frozen River
Meryl Streep,2008,White,5,Non-Winner,Sister Aloysius Beauvier,Doubt
Gabourey Sidibe,2009,Non-White,1,Non-Winner,Claireece Precious Jones,Precious
Sandra Bullock,2009,White,1,Winner,Leigh Anne Tuohy,The Blind Side
Helen Mirren,2009,White,2,Non-Winner,Sophia Tolstaya,The Last Station
Carey Mulligan,2009,White,3,Non-Winner,Jenny Mellor,An Education
Meryl Streep,2009,White,4,Non-Winner,Julia Child,Julie Julia
Natalie Portman,2010,White,1,Winner,Nina Sayers,Black Swan
Annette Bening,2010,White,2,Non-Winner,Nicole Allgood,The Kids Are All Right
Nicole Kidman,2010,White,3,Non-Winner,Becca Corbett,Rabbit Hole
Jennifer Lawrence,2010,White,4,Non-Winner,Ree Dolly,Winters Bone
Michelle Williams,2010,White,5,Non-Winner,Cindy Heller,Blue Valentine
Viola Davis,2011,Non-White,1,Non-Winner,Aibileen Clark,The Help
Meryl Streep,2011,White,1,Winner,Margaret Thatcher,The Iron Lady
Glenn Close,2011,White,2,Non-Winner,Albert Nobbs,Albert Nobbs
Rooney Mara,2011,White,3,Non-Winner,Lisbeth Salander,The Girl with the Dragon Tattoo
Michelle Williams,2011,White,4,Non-Winner,Marilyn Monroe,My Week with Marilyn
Quvenzhan Wallis,2012,Non-White,1,Non-Winner,Hushpuppy,Beasts of the Southern Wild
Jennifer Lawrence,2012,White,1,Winner,Tiffany Maxwell,Silver Linings Playbook
Jessica Chastain,2012,White,2,Non-Winner,Maya,Zero Dark Thirty
Emmanuelle Riva,2012,White,3,Non-Winner,Anne Laurent,Amour
Naomi Watts,2012,White,4,Non-Winner,Maria Bennett,The Impossible
Cate Blanchett,2013,White,1,Winner,Jeanette Jasmine Francis,Blue Jasmine
Amy Adams,2013,White,2,Non-Winner,Sydney Prosser,American Hustle
Sandra Bullock,2013,White,3,Non-Winner,Ryan Stone,Gravity
Judi Dench,2013,White,4,Non-Winner,Philomena Lee,Philomena
Meryl Streep,2013,White,5,Non-Winner,Violet Weston,August Osage County
Julianne Moore,2014,White,1,Winner,Alice Howland,Still Alice
Marion Cotillard,2014,White,2,Non-Winner,Sandra Bya,Two Days One Night
Felicity Jones,2014,White,3,Non-Winner,Jane Hawking,The Theory of Everything
Rosamund Pike,2014,White,4,Non-Winner,Amy ElliottDunne,Gone Girl
Reese Witherspoon,2014,White,5,Non-Winner,Cheryl Strayed,Wild
Brie Larson,2015,White,1,Winner,Joy Newsome,Room
Cate Blanchett,2015,White,2,Non-Winner,Carol Aird,Carol
Jennifer Lawrence,2015,White,3,Non-Winner,Joy Mangano,Joy
Charlotte Rampling,2015,White,4,Non-Winner,Kate Mercer,Years
Saoirse Ronan,2015,White,5,Non-Winner,Eilis Lacey,Brooklyn
Emma Stone,2016,White,1,Winner,Mia Dolan,La La Land
Isabelle Huppert,2016,White,2,Non-Winner,Michle Leblanc,Elle
Ruth Negga,2016,White,3,Non-Winner,Mildred Loving,Loving
Natalie Portman,2016,White,4,Non-Winner,Jacqueline Jackie Kennedy,Jackie
Meryl Streep,2016,White,5,Non-Winner,Florence Foster Jenkins,Florence Foster Jenkins
Frances McDormand,2017,White,1,Winner,Mildred Hayes,Three Billboards Outside Ebbing Missouri
Sally Hawkins,2017,White,2,Non-Winner,Elisa Esposito,The Shape of Water
Margot Robbie,2017,White,3,Non-Winner,Tonya Harding,I Tonya
Saoirse Ronan,2017,White,4,Non-Winner,Christine Lady Bird McPherson,Lady Bird
Meryl Streep,2017,White,5,Non-Winner,Katharine Graham,The Post
Olivia Colman,2018,White,1,Winner,Anne Queen of Great Britain,The Favourite
Yalitza Aparicio,2018,White,2,Non-Winner,Cleodegaria Cleo Gutirrez,Roma
Glenn Close,2018,White,3,Non-Winner,Joan Castleman,The Wife
Lady Gaga,2018,White,4,Non-Winner,Ally Maine,A Star Is Born
Melissa McCarthy,2018,White,5,Non-Winner,Lee Israel,Can You Ever Forgive Me
Cynthia Erivo,2019,White,1,Non-Winner,Harriet Tubman,Harriet
Scarlett Johansson,2019,White,2,Non-Winner,Nicole Barber,Marriage Story
Saoirse Ronan,2019,White,3,Non-Winner,Josephine Jo March,Little Women
Charlize Theron,2019,White,4,Non-Winner,Megyn Kelly,Bombshell
Rene Zellweger,2019,White,5,Non-Winner,Judy Garland,Judy
