Name,Value,Race,Index,Winner,Role,Film
Teresa Wright,1942,White,5,Non-Winner,Eleanor Twitchell Gehrig,The Pride of the Yankees
Jennifer Jones,1943,White,1,Winner,Bernadette Soubirous,The Song of Bernadette
Jean Arthur,1943,White,2,Non-Winner,Constance Connie Milligan,The More the Merrier
Ingrid Bergman,1943,White,3,Non-Winner,Mara,For Whom the Bell Tolls
Joan Fontaine,1943,White,4,Non-Winner,Tessa Sanger,The Constant Nymph
Greer Garson,1943,White,5,Non-Winner,Marie Curie,Madame Curie
Ingrid Bergman,1944,White,1,Winner,Paula Alquist Anton,Gaslight
Claudette Colbert,1944,White,2,Non-Winner,Anne Hilton,Since You Went Away
Bette Davis,1944,White,3,Non-Winner,Fanny Trellis,Mr Skeffington
Greer Garson,1944,White,4,Non-Winner,Susie Sparrow Parkington,Mrs Parkington
Barbara Stanwyck,1944,White,5,Non-Winner,Phyllis Dietrichson,Double Indemnity
Joan Crawford,1945,White,1,Winner,Mildred Pierce Beragon,Mildred Pierce
Ingrid Bergman,1945,White,2,Non-Winner,Mary Benedict,The Bells of St Marys
Greer Garson,1945,White,3,Non-Winner,Mary Rafferty,The Valley of Decision
Jennifer Jones,1945,White,4,Non-Winner,Singleton,Love Letters
Gene Tierney,1945,White,5,Non-Winner,Ellen Berent Harland,Leave Her to Heaven
Olivia de Havilland,1946,White,1,Winner,Josephine Jody Norris,To Each His Own
Celia Johnson,1946,White,2,Non-Winner,Laura Jesson,Brief Encounter
Jennifer Jones,1946,White,3,Non-Winner,Pearl Chavez,Duel in the Sun
Rosalind Russell,1946,White,4,Non-Winner,Elizabeth Kenny,Sister Kenny
Jane Wyman,1946,White,5,Non-Winner,Orry Baxter,The Yearling
Loretta Young,1947,White,1,Winner,Katie Holstrom,The Farmers Daughter
Joan Crawford,1947,White,2,Non-Winner,Louise Howell,Possessed
Susan Hayward,1947,White,3,Non-Winner,Angelica Evans Conway,SmashUp the Story of a Woman
Dorothy McGuire,1947,White,4,Non-Winner,Kathy Lacy,Gentlemans Agreement
Rosalind Russell,1947,White,5,Non-Winner,Lavinia Mannon,Mourning Becomes Electra
Jane Wyman,1948,White,1,Winner,Belinda McDonald,Johnny Belinda
Ingrid Bergman,1948,White,2,Non-Winner,Joan of Arc,Joan of Arc
Olivia de Havilland,1948,White,3,Non-Winner,Virginia Stuart Cunningham,The Snake Pit
Irene Dunne,1948,White,4,Non-Winner,Martha Hanson,I Remember Mama
Barbara Stanwyck,1948,White,5,Non-Winner,Leona Stevenson,Sorry Wrong Number
Olivia de Havilland,1949,White,1,Winner,Catherine Sloper,The Heiress
Jeanne Crain,1949,White,2,Non-Winner,Patricia Pinky Johnson,Pinky
Susan Hayward,1949,White,3,Non-Winner,Eloise Winters,My Foolish Heart
Deborah Kerr,1949,White,4,Non-Winner,Evelyn Boult,Edward My Son
Loretta Young,1949,White,5,Non-Winner,Margaret,Come to the Stable
Judy Holliday,1950,White,1,Winner,Emma Billie Dawn,Born Yesterday
Anne Baxter,1950,White,2,Non-Winner,Eve Harrington,All About Eve
Bette Davis,1950,White,3,Non-Winner,Margo Channing,
Eleanor Parker,1950,White,4,Non-Winner,Marie Allen,Caged
Gloria Swanson,1950,White,5,Non-Winner,Norma Desmond,Sunset Boulevard
Vivien Leigh,1951,White,1,Winner,Blanche DuBois,A Streetcar Named Desire
Katharine Hepburn,1951,White,2,Non-Winner,Rose Sayer,The African Queen
Eleanor Parker,1951,White,3,Non-Winner,Mary McLeod,Detective Story
Shelley Winters,1951,White,4,Non-Winner,Alice Tripp,A Place in the Sun
Jane Wyman,1951,White,5,Non-Winner,Louise Mason,The Blue Veil
Shirley Booth,1952,White,1,Winner,Lola Delaney,Come Back Little Sheba
Joan Crawford,1952,White,2,Non-Winner,Myra Hudson,Sudden Fear
Bette Davis,1952,White,3,Non-Winner,Margaret Elliot,The Star
Julie Harris,1952,White,4,Non-Winner,Frances Frankie Addams,The Member of the Wedding
Susan Hayward,1952,White,5,Non-Winner,Jane Froman,With a Song in My Heart
Audrey Hepburn,1953,White,1,Winner,Princess Ann,Roman Holiday
Leslie Caron,1953,White,2,Non-Winner,Lili Daurier,Lili
Ava Gardner,1953,White,3,Non-Winner,Eloise Honey Bear Kelly,Mogambo
Deborah Kerr,1953,White,4,Non-Winner,Karen Holmes,From Here to Eternity
Maggie McNamara,1953,White,5,Non-Winner,Patty ONeill,The Moon Is Blue
Dorothy Dandridge,1954,Non-White,1,Non-Winner,Carmen Jones,Carmen Jones
Grace Kelly,1954,White,1,Winner,Georgie Elgin,The Country Girl
Judy Garland,1954,White,2,Non-Winner,Esther Victoria Blodgett Vicki Lester,A Star Is Born
Audrey Hepburn,1954,White,3,Non-Winner,Sabrina Fairchild,Sabrina
Jane Wyman,1954,White,4,Non-Winner,Helen Phillips,Magnificent Obsession
Anna Magnani,1955,White,1,Winner,Serafina Delle Rose,The Rose Tattoo
Susan Hayward,1955,White,2,Non-Winner,Lillian Roth,Ill Cry Tomorrow
Katharine Hepburn,1955,White,3,Non-Winner,Jane Hudson,Summertime
Jennifer Jones,1955,White,4,Non-Winner,Han Suyin,Love is a ManySplendored Thing
Eleanor Parker,1955,White,5,Non-Winner,Marjorie Lawrence,Interrupted Melody
Ingrid Bergman,1956,White,1,Winner,Anna Koreff Anastasia,Anastasia
Carroll Baker,1956,White,2,Non-Winner,Baby Doll Meighan,Baby Doll
Katharine Hepburn,1956,White,3,Non-Winner,Lizzie Curry,The Rainmaker
Nancy Kelly,1956,White,4,Non-Winner,Christine Penmark,The Bad Seed
Deborah Kerr,1956,White,5,Non-Winner,Anna Leonowens,The King and I
Joanne Woodward,1957,White,1,Winner,Eve White Eve Black Jane,The Three Faces of Eve
Deborah Kerr,1957,White,2,Non-Winner,Angela,Heaven Knows Mr Allison
