Name,Value,Race,Index,Winner,Role,Film
Cate Blanchett,2007,White,2,Non-Winner,Jude Quinn,Im Not There
Ruby Dee,2007,White,3,Non-Winner,Mahalee Lucas,American Gangster
Saoirse Ronan,2007,White,4,Non-Winner,Briony Tallis,Atonement
Amy Ryan,2007,White,5,Non-Winner,Helene McCready,Gone Baby Gone
Viola Davis,2008,Non-White,1,Non-Winner,Mrs Miller,
Taraji P Henson,2008,Non-White,2,Non-Winner,Queenie,The Curious Case of Benjamin Button
Penlope Cruz,2008,White,1,Winner,Mara Elena,Vicky Cristina Barcelona
Amy Adams,2008,White,2,Non-Winner,Sister James,Doubt
Marisa Tomei,2008,White,3,Non-Winner,Cassidy Pam,The Wrestler
MoNique,2009,Non-White,1,Winner,Mary Lee Johnston,Precious
Penlope Cruz,2009,White,1,Non-Winner,Carla Albanese,Nine
Vera Farmiga,2009,White,2,Non-Winner,Alex Goran,Up in the Air
Maggie Gyllenhaal,2009,White,3,Non-Winner,Jean Craddock,Crazy Heart
Anna Kendrick,2009,White,4,Non-Winner,Natalie Keener,Up in the Air
Melissa Leo,2010,White,1,Winner,Alice EklundWard,The Fighter
Amy Adams,2010,White,2,Non-Winner,Charlene Fleming,The Fighter
Helena Bonham Carter,2010,White,3,Non-Winner,Queen Elizabeth,The Kings Speech
Hailee Steinfeld,2010,White,4,Non-Winner,Mattie Ross,True Grit
Jacki Weaver,2010,White,5,Non-Winner,Janine Smurf Cody,Animal Kingdom
Octavia Spencer,2011,Non-White,1,Winner,Minny Jackson,The Help
Brnice Bejo,2011,Non-White,2,Non-Winner,Peppy Miller,The Artist
Jessica Chastain,2011,White,1,Non-Winner,Celia Foote,The Help
Melissa McCarthy,2011,White,2,Non-Winner,Megan Price,Bridesmaids
Janet McTeer,2011,White,3,Non-Winner,Hubert Page,Albert Nobbs
Anne Hathaway,2012,White,1,Winner,Fantine,Les Misrables
Amy Adams,2012,White,2,Non-Winner,Peggy Dodd,The Master
Sally Field,2012,White,3,Non-Winner,Mary Todd Lincoln,Lincoln
Helen Hunt,2012,White,4,Non-Winner,Cheryl CohenGreene,The Sessions
Jacki Weaver,2012,White,5,Non-Winner,Dolores Solitano,Silver Linings Playbook
Lupita Nyongo,2013,Non-White,1,Winner,Patsey,Years a Slave
Sally Hawkins,2013,White,1,Non-Winner,Ginger,Blue Jasmine
Jennifer Lawrence,2013,White,2,Non-Winner,Rosalyn Rosenfeld,American Hustle
Julia Roberts,2013,White,3,Non-Winner,Barbara WestonFordham,August Osage County
June Squibb,2013,White,4,Non-Winner,Kate Grant,Nebraska
Patricia Arquette,2014,White,1,Winner,Olivia Evans,Boyhood
Laura Dern,2014,White,2,Non-Winner,Bobbi Grey,Wild
Keira Knightley,2014,White,3,Non-Winner,Joan Clarke,The Imitation Game
Emma Stone,2014,White,4,Non-Winner,Sam Thomson,Birdman
Meryl Streep,2014,White,5,Non-Winner,The Witch,Into the Woods
Alicia Vikander,2015,White,1,Winner,Gerda Wegener,The Danish Girl
Jennifer Jason Leigh,2015,White,2,Non-Winner,Daisy Domergue,The Hateful Eight
Rooney Mara,2015,White,3,Non-Winner,Therese Belivet,Carol
Rachel McAdams,2015,White,4,Non-Winner,Sacha Pfeiffer,Spotlight
Kate Winslet,2015,White,5,Non-Winner,Joanna Hoffman,Steve Jobs
Viola Davis,2016,White,1,Winner,Rose Lee Maxson,Fences
Naomie Harris,2016,White,2,Non-Winner,Paula Harris,Moonlight
Nicole Kidman,2016,White,3,Non-Winner,Sue Brierley,Lion
Octavia Spencer,2016,White,4,Non-Winner,Dorothy Vaughan,Hidden Figures
Michelle Williams,2016,White,5,Non-Winner,Randi Chandler,Manchester by the Sea
Allison Janney,2017,White,1,Winner,LaVona Golden,I Tonya
Mary J Blige,2017,White,2,Non-Winner,Florence Jackson,Mudbound
Lesley Manville,2017,White,3,Non-Winner,Cyril Woodcock,Phantom Thread
Laurie Metcalf,2017,White,4,Non-Winner,Marion McPherson,Lady Bird
Octavia Spencer,2017,White,5,Non-Winner,Zelda Delilah Fuller,The Shape of Water
Regina King,2018,White,1,Winner,Sharon Rivers,If Beale Street Could Talk
Amy Adams,2018,White,2,Non-Winner,Lynne Cheney,Vice
Marina de Tavira,2018,White,3,Non-Winner,Sofa,Roma
Emma Stone,2018,White,4,Non-Winner,Abigail Masham,The Favourite
Rachel Weisz,2018,White,5,Non-Winner,Sarah Churchill,
Kathy Bates,2019,White,1,Non-Winner,Barbara Bobi Jewell,Richard Jewell
Laura Dern,2019,White,2,Non-Winner,Nora Fanshaw,Marriage Story
Scarlett Johansson,2019,White,3,Non-Winner,Rosie Betzler,Jojo Rabbit
Florence Pugh,2019,White,4,Non-Winner,Amy March,Little Women
Margot Robbie,2019,White,5,Non-Winner,Kayla Pospisil,Bombshell
