Name,Value,Race,Gender,Index,Winner,Role,Film
Joel Coen,1996,White,Male,2,Non-Winner,Joel Coen,Fargo
Milo Forman,1996,White,Male,3,Non-Winner,Milo Forman,The People vs Larry Flynt
Scott Hicks,1996,White,Male,4,Non-Winner,Scott Hicks,Shine
Mike Leigh,1996,White,Male,5,Non-Winner,Mike Leigh,Secrets Lies
James Cameron,1997,White,Male,1,Winner,James Cameron,Titanic
Peter Cattaneo,1997,White,Male,2,Non-Winner,Peter Cattaneo,The Full Monty
Atom Egoyan,1997,White,Male,3,Non-Winner,Atom Egoyan,The Sweet Hereafter
Curtis Hanson,1997,White,Male,4,Non-Winner,Curtis Hanson,LA Confidential
Gus Van Sant,1997,White,Male,5,Non-Winner,Gus Van Sant,Good Will Hunting
Steven Spielberg,1998,White,Male,1,Winner,Steven Spielberg,Saving Private Ryan
Roberto Benigni,1998,White,Male,2,Non-Winner,Roberto Benigni,Life Is Beautiful
John Madden,1998,White,Male,3,Non-Winner,John Madden,Shakespeare in Love
Terrence Malick,1998,White,Male,4,Non-Winner,Terrence Malick,The Thin Red Line
Peter Weir,1998,White,Male,5,Non-Winner,Peter Weir,The Truman Show
M Night Shyamalan,1999,Non-White,Male,1,Non-Winner,M Night Shyamalan,The Sixth Sense
Sam Mendes,1999,White,Male,1,Winner,Sam Mendes,American Beauty
Lasse Hallstrm,1999,White,Male,2,Non-Winner,Lasse Hallstrm,The Cider House Rules
Spike Jonze,1999,White,Male,3,Non-Winner,Spike Jonze,Being John Malkovich
Michael Mann,1999,White,Male,4,Non-Winner,Michael Mann,The Insider
Ang Lee,2000,Non-White,Male,1,Non-Winner,Ang Lee,Crouching Tiger Hidden Dragon
Steven Soderbergh,2000,White,Male,1,Winner,Steven Soderbergh,Traffic
Stephen Daldry,2000,White,Male,2,Non-Winner,Stephen Daldry,Billy Elliot
Ridley Scott,2000,White,Male,3,Non-Winner,Ridley Scott,Gladiator
Steven Soderbergh,2000,White,Male,4,Non-Winner,Steven Soderbergh,Erin Brockovich
Ron Howard,2001,White,Male,1,Winner,Ron Howard,A Beautiful Mind
Robert Altman,2001,White,Male,2,Non-Winner,Robert Altman,Gosford Park
Peter Jackson,2001,White,Male,3,Non-Winner,Peter Jackson,The Lord of the Rings The Fellowship of the Ring
David Lynch,2001,White,Male,4,Non-Winner,David Lynch,Mulholland Drive
Ridley Scott,2001,White,Male,5,Non-Winner,Ridley Scott,Black Hawk Down
Roman Polanski,2002,White,Male,1,Winner,Roman Polanski,The Pianist
Pedro Almodvar,2002,White,Male,2,Non-Winner,Pedro Almodvar,Talk to Her
Stephen Daldry,2002,White,Male,3,Non-Winner,Stephen Daldry,The Hours
Rob Marshall,2002,White,Male,4,Non-Winner,Rob Marshall,Chicago
Martin Scorsese,2002,White,Male,5,Non-Winner,Martin Scorsese,Gangs of New York
Sofia Coppola,2003,White,Female,1,Non-Winner,Sofia Coppola,Lost in Translation
Fernando Meirelles,2003,Non-White,Male,1,Non-Winner,Fernando Meirelles,City of God
Peter Jackson,2003,White,Male,1,Winner,Peter Jackson,The Lord of the Rings The Return of the King
Clint Eastwood,2003,White,Male,2,Non-Winner,Clint Eastwood,Mystic River
Peter Weir,2003,White,Male,3,Non-Winner,Peter Weir,Master and Commander The Far Side of the World
Clint Eastwood,2004,White,Male,1,Winner,Clint Eastwood,Million Dollar Baby
Taylor Hackford,2004,White,Male,2,Non-Winner,Taylor Hackford,Ray
Mike Leigh,2004,White,Male,3,Non-Winner,Mike Leigh,Vera Drake
Alexander Payne,2004,White,Male,4,Non-Winner,Alexander Payne,Sideways
Martin Scorsese,2004,White,Male,5,Non-Winner,Martin Scorsese,The Aviator
Ang Lee,2005,Non-White,Male,1,Winner,Ang Lee,Brokeback Mountain
George Clooney,2005,White,Male,1,Non-Winner,George Clooney,Good Night and Good Luck
Paul Haggis,2005,White,Male,2,Non-Winner,Paul Haggis,Crash
Bennett Miller,2005,White,Male,3,Non-Winner,Bennett Miller,Capote
Steven Spielberg,2005,White,Male,4,Non-Winner,Steven Spielberg,Munich
Alejandro G Irritu,2006,Non-White,Male,1,Non-Winner,Alejandro G Irritu,Babel
Martin Scorsese,2006,White,Male,1,Winner,Martin Scorsese,The Departed
Clint Eastwood,2006,White,Male,2,Non-Winner,Clint Eastwood,Letters from Iwo Jima
Stephen Frears,2006,White,Male,3,Non-Winner,Stephen Frears,The Queen
Paul Greengrass,2006,White,Male,4,Non-Winner,Paul Greengrass,United
Coen Brothers,2007,White,Male,1,Winner,Coen Brothers,No Country for Old Men
Paul Thomas Anderson,2007,White,Male,2,Non-Winner,Paul Thomas Anderson,There Will Be Blood
Tony Gilroy,2007,White,Male,3,Non-Winner,Tony Gilroy,Michael Clayton
Jason Reitman,2007,White,Male,4,Non-Winner,Jason Reitman,Juno
Julian Schnabel,2007,White,Male,5,Non-Winner,Julian Schnabel,The Diving Bell and the Butterfly
Danny Boyle,2008,White,Male,1,Winner,Danny Boyle,Slumdog Millionaire
Stephen Daldry,2008,White,Male,2,Non-Winner,Stephen Daldry,The Reader
David Fincher,2008,White,Male,3,Non-Winner,David Fincher,The Curious Case of Benjamin Button
Ron Howard,2008,White,Male,4,Non-Winner,Ron Howard,FrostNixon
Gus Van Sant,2008,White,Male,5,Non-Winner,Gus Van Sant,Milk
Kathryn Bigelow,2009,White,Female,1,Winner,Kathryn Bigelow,The Hurt Locker
Lee Daniels,2009,Non-White,Male,1,Non-Winner,Lee Daniels,Precious
James Cameron,2009,White,Male,1,Non-Winner,James Cameron,Avatar
Jason Reitman,2009,White,Male,2,Non-Winner,Jason Reitman,Up in the Air
Quentin Tarantino,2009,White,Male,3,Non-Winner,Quentin Tarantino,Inglourious Basterds
Tom Hooper,2010,White,Male,1,Winner,Tom Hooper,The Kings Speech
Darren Aronofsky,2010,White,Male,2,Non-Winner,Darren Aronofsky,Black Swan
Coen Brothers,2010,White,Male,3,Non-Winner,Coen Brothers,True Grit
David Fincher,2010,White,Male,4,Non-Winner,David Fincher,The Social Network
David O Russell,2010,White,Male,5,Non-Winner,David O Russell,The Fighter
Michel Hazanavicius,2011,White,Male,1,Winner,Michel Hazanavicius,The Artist
Woody Allen,2011,White,Male,2,Non-Winner,Woody Allen,Midnight in Paris
Terrence Malick,2011,White,Male,3,Non-Winner,Terrence Malick,The Tree of Life
Alexander Payne,2011,White,Male,4,Non-Winner,Alexander Payne,The Descendants
Martin Scorsese,2011,White,Male,5,Non-Winner,Martin Scorsese,Hugo
Ang Lee,2012,Non-White,Male,1,Winner,Ang Lee,Life of Pi
Michael Haneke,2012,White,Male,1,Non-Winner,Michael Haneke,Amour
David O Russell,2012,White,Male,2,Non-Winner,David O Russell,Silver Linings Playbook
Steven Spielberg,2012,White,Male,3,Non-Winner,Steven Spielberg,Lincoln
Benh Zeitlin,2012,White,Male,4,Non-Winner,Benh Zeitlin,Beasts of the Southern Wild
Alfonso Cuarn,2013,Non-White,Male,1,Winner,Alfonso Cuarn,Gravity
Steve McQueen,2013,Non-White,Male,2,Non-Winner,Steve McQueen,Years a Slave
Alexander Payne,2013,White,Male,1,Non-Winner,Alexander Payne,Nebraska
David O Russell,2013,White,Male,2,Non-Winner,David O Russell,American Hustle
Martin Scorsese,2013,White,Male,3,Non-Winner,Martin Scorsese,The Wolf of Wall Street
Alejandro G Irritu,2014,Non-White,Male,1,Winner,Alejandro G Irritu,Birdman
Wes Anderson,2014,White,Male,1,Non-Winner,Wes Anderson,The Grand Budapest Hotel
Richard Linklater,2014,White,Male,2,Non-Winner,Richard Linklater,Boyhood
Bennett Miller,2014,White,Male,3,Non-Winner,Bennett Miller,Foxcatcher
Morten Tyldum,2014,White,Male,4,Non-Winner,Morten Tyldum,The Imitation Game
Alejandro G Irritu,2015,Non-White,Male,1,Winner,Alejandro G Irritu,The Revenant
Lenny Abrahamson,2015,White,Male,1,Non-Winner,Lenny Abrahamson,Room
Tom McCarthy,2015,White,Male,2,Non-Winner,Tom McCarthy,Spotlight
Adam McKay,2015,White,Male,3,Non-Winner,Adam McKay,The Big Short
George Miller,2015,White,Male,4,Non-Winner,George Miller,Mad Max Fury Road
Barry Jenkins,2016,Non-White,Male,1,Non-Winner,Barry Jenkins,Moonlight
Damien Chazelle,2016,White,Male,1,Winner,Damien Chazelle,La La Land
Mel Gibson,2016,White,Male,2,Non-Winner,Mel Gibson,Hacksaw Ridge
Kenneth Lonergan,2016,White,Male,3,Non-Winner,Kenneth Lonergan,Manchester by the Sea
Denis Villeneuve,2016,White,Male,4,Non-Winner,Denis Villeneuve,Arrival
Greta Gerwig,2017,White,Female,1,Non-Winner,Greta Gerwig,Lady Bird
Guillermo del Toro,2017,Non-White,Male,1,Winner,Guillermo del Toro,The Shape of Water
Jordan Peele,2017,Non-White,Male,2,Non-Winner,Jordan Peele,Get Out
Paul Thomas Anderson,2017,White,Male,1,Non-Winner,Paul Thomas Anderson,Phantom Thread
Christopher Nolan,2017,White,Male,2,Non-Winner,Christopher Nolan,Dunkirk
Alfonso Cuarn,2018,Non-White,Male,1,Winner,Alfonso Cuarn,Roma
Spike Lee,2018,Non-White,Male,2,Non-Winner,Spike Lee,BlacKkKlansman
Yorgos Lanthimos,2018,White,Male,1,Non-Winner,Yorgos Lanthimos,The Favourite
Adam McKay,2018,White,Male,2,Non-Winner,Adam McKay,Vice
Pawe Pawlikowski,2018,White,Male,3,Non-Winner,Pawe Pawlikowski,Cold War
Bong Joonho,2019,Non-White,Male,1,Non-Winner,Bong Joonho,Parasite
Sam Mendes,2019,White,Male,1,Non-Winner,Sam Mendes,
Todd Phillips,2019,White,Male,2,Non-Winner,Todd Phillips,Joker
Martin Scorsese,2019,White,Male,3,Non-Winner,Martin Scorsese,The Irishman
Quentin Tarantino,2019,White,Male,4,Non-Winner,Quentin Tarantino,Once Upon a Time in Hollywood
