Name,Value,Race,Index,Winner,Role,Film
Jeff Chandler,1950,White,2,Non-Winner,Cochise,Broken Arrow
Edmund Gwenn,1950,White,3,Non-Winner,Skipper Miller,Mister
Sam Jaffe,1950,White,4,Non-Winner,Dr Erwin Riedenschneider,The Asphalt Jungle
Erich von Stroheim,1950,White,5,Non-Winner,Max von Meyerling,Sunset Boulevard
Karl Malden,1951,White,1,Winner,Harold Mitch Mitchell,A Streetcar Named Desire
Leo Genn,1951,White,2,Non-Winner,Petronius,Quo Vadis
Kevin McCarthy,1951,White,3,Non-Winner,Biff Loman,Death of a Salesman
Peter Ustinov,1951,White,4,Non-Winner,Nero,Quo Vadis
Gig Young,1951,White,5,Non-Winner,Boyd Copeland,Come Fill the Cup
Anthony Quinn,1952,White,1,Winner,Eufemio Zapata,Viva Zapata
Richard Burton,1952,White,2,Non-Winner,Philip Ashley,My Cousin Rachel
Arthur Hunnicutt,1952,White,3,Non-Winner,Zeb CallowayNarrator,The Big Sky
Victor McLaglen,1952,White,4,Non-Winner,Will Red Danaher,The Quiet Man
Jack Palance,1952,White,5,Non-Winner,Lester Blaine,Sudden Fear
Frank Sinatra,1953,White,1,Winner,Pvt Angelo Maggio,From Here to Eternity
Eddie Albert,1953,White,2,Non-Winner,Irving Radovich,Roman Holiday
Brandon deWilde,1953,White,3,Non-Winner,Joey Starrett,Shane
Jack Palance,1953,White,4,Non-Winner,Jack Wilson,
Robert Strauss,1953,White,5,Non-Winner,Sgt Stanislas Animal Kasava,Stalag
Edmond OBrien,1954,White,1,Winner,Oscar Muldoon,The Barefoot Contessa
Lee J Cobb,1954,White,2,Non-Winner,Johnny Friendly,On the Waterfront
Karl Malden,1954,White,3,Non-Winner,Father Barry,
Rod Steiger,1954,White,4,Non-Winner,Charley The Gent Malloy,
Tom Tully,1954,White,5,Non-Winner,Commander DeVriess,The Caine Mutiny
Jack Lemmon,1955,White,1,Winner,Ensign Frank Thurlowe Pulver,Mister Roberts
Arthur Kennedy,1955,White,2,Non-Winner,Barney Castle,Trial
Joe Mantell,1955,White,3,Non-Winner,Angie,Marty
Sal Mineo,1955,White,4,Non-Winner,John Plato Crawford,Rebel Without a Cause
Arthur OConnell,1955,White,5,Non-Winner,Howard Bevans,Picnic
Anthony Quinn,1956,Non-White,1,Winner,Paul Gauguin,Lust for Life
Don Murray,1956,White,1,Non-Winner,Beauregard Bo Decker,Bus Stop
Anthony Perkins,1956,White,2,Non-Winner,Josh Birdwell,Friendly Persuasion
Mickey Rooney,1956,White,3,Non-Winner,Dooley,The Bold and the Brave
Robert Stack,1956,White,4,Non-Winner,Kyle Hadley,Written on the Wind
Sessue Hayakawa,1957,Non-White,1,Non-Winner,Colonel Saito,The Bridge on the River Kwai
Red Buttons,1957,White,1,Winner,Airman Joe Kelly,Sayonara
Vittorio De Sica,1957,White,2,Non-Winner,Major Alessandro Rinaldi,A Farewell to Arms
Arthur Kennedy,1957,White,3,Non-Winner,Lucas Cross,Peyton Place
Russ Tamblyn,1957,White,4,Non-Winner,Norman Page,
Burl Ives,1958,White,1,Winner,Rufus Hannassey,The Big Country
Theodore Bikel,1958,White,2,Non-Winner,Sheriff Max Muller,The Defiant Ones
