Name,Value,Race,Index,Winner,Role,Film
Philip Seymour Hoffman,2007,White,3,Non-Winner,Gust Avrakotos,Charlie Wilsons War
Hal Holbrook,2007,White,4,Non-Winner,Ron Franz,Into the Wild
Tom Wilkinson,2007,White,5,Non-Winner,Arthur Edens,Michael Clayton
Heath Ledger,2008,White,1,Winner,The Joker,The Dark Knight
Josh Brolin,2008,White,2,Non-Winner,Dan White,Milk
Robert Downey Jr,2008,White,3,Non-Winner,Kirk Lazarus,Tropic Thunder
Philip Seymour Hoffman,2008,White,4,Non-Winner,Father Brendan Flynn,Doubt
Michael Shannon,2008,White,5,Non-Winner,John Givings Jr,Revolutionary Road
Christoph Waltz,2009,White,1,Winner,Col Hans Landa,Inglourious Basterds
Matt Damon,2009,White,2,Non-Winner,Francois Pienaar,Invictus
Woody Harrelson,2009,White,3,Non-Winner,Capt Tony Stone,The Messenger
Christopher Plummer,2009,White,4,Non-Winner,Leo Tolstoy,The Last Station
Stanley Tucci,2009,White,5,Non-Winner,George Harvey,The Lovely Bones
Christian Bale,2010,White,1,Winner,Dicky Eklund,The Fighter
John Hawkes,2010,White,2,Non-Winner,Teardrop Dolly,Winters Bone
Jeremy Renner,2010,White,3,Non-Winner,James Jem Coughlin,The Town
Mark Ruffalo,2010,White,4,Non-Winner,Paul Hatfield,The Kids Are All Right
Geoffrey Rush,2010,White,5,Non-Winner,Lionel Logue,The Kings Speech
Christopher Plummer,2011,White,1,Winner,Hal Fields,Beginners
Kenneth Branagh,2011,White,2,Non-Winner,Laurence Olivier,My Week with Marilyn
Jonah Hill,2011,White,3,Non-Winner,Peter Brand,Moneyball
Nick Nolte,2011,White,4,Non-Winner,Paddy Conlon,Warrior
Max von Sydow,2011,White,5,Non-Winner,The Renter,Extremely Loud Incredibly Close
Christoph Waltz,2012,White,1,Winner,Dr King Schultz,Django Unchained
Alan Arkin,2012,White,2,Non-Winner,Lester Siegel,Argo
Robert De Niro,2012,White,3,Non-Winner,Patrizio Pat Solitano Sr,Silver Linings Playbook
Philip Seymour Hoffman,2012,White,4,Non-Winner,Lancaster Dodd,The Master
Tommy Lee Jones,2012,White,5,Non-Winner,Thaddeus Stevens,Lincoln
Barkhad Abdi,2013,Non-White,1,Non-Winner,Abduwali Muse,Captain Phillips
Jared Leto,2013,White,1,Winner,Rayon,Dallas Buyers Club
Bradley Cooper,2013,White,2,Non-Winner,Richard Richie DiMaso,American Hustle
Michael Fassbender,2013,White,3,Non-Winner,Edwin Epps,Years a Slave
Jonah Hill,2013,White,4,Non-Winner,Donnie Azoff,The Wolf of Wall Street
J K Simmons,2014,White,1,Winner,Terence Fletcher,Whiplash
Robert Duvall,2014,White,2,Non-Winner,Joseph Palmer,The Judge
Ethan Hawke,2014,White,3,Non-Winner,Mason Evans Sr,Boyhood
Edward Norton,2014,White,4,Non-Winner,Mike Shiner,Birdman
Mark Ruffalo,2014,White,5,Non-Winner,David Schultz,Foxcatcher
Mark Rylance,2015,White,1,Winner,Rudolf Abel,Bridge of Spies
Christian Bale,2015,White,2,Non-Winner,Michael Burry,The Big Short
Tom Hardy,2015,White,3,Non-Winner,John Fitzgerald,The Revenant
Mark Ruffalo,2015,White,4,Non-Winner,Michael Rezendes,Spotlight
Sylvester Stallone,2015,White,5,Non-Winner,Rocky Balboa,Creed
Mahershala Ali,2016,White,1,Winner,Juan,Moonlight
Jeff Bridges,2016,White,2,Non-Winner,Marcus Hamilton,Hell or High Water
Lucas Hedges,2016,White,3,Non-Winner,Patrick Chandler,Manchester by the Sea
Dev Patel,2016,White,4,Non-Winner,Saroo Brierley,Lion
Michael Shannon,2016,White,5,Non-Winner,Lieutenant Bobby Andes,Nocturnal Animals
Sam Rockwell,2017,White,1,Winner,Officer Jason Dixon,Three Billboards Outside Ebbing Missouri
Willem Dafoe,2017,White,2,Non-Winner,Bobby Hicks,The Florida Project
Woody Harrelson,2017,White,3,Non-Winner,Sheriff William Willoughby,Three Billboards Outside Ebbing Missouri
Richard Jenkins,2017,White,4,Non-Winner,Giles,The Shape of Water
Christopher Plummer,2017,White,5,Non-Winner,J Paul Getty,All the Money in the World
Mahershala Ali,2018,White,1,Winner,Don Shirley,Green Book
Adam Driver,2018,White,2,Non-Winner,Det Philip Flip Zimmerman,BlacKkKlansman
Sam Elliott,2018,White,3,Non-Winner,Bobby Maine,A Star Is Born
Richard E Grant,2018,White,4,Non-Winner,Jack Hock,Can You Ever Forgive Me
Sam Rockwell,2018,White,5,Non-Winner,George W Bush,Vice
Tom Hanks,2019,White,1,Non-Winner,Fred Rogers,A Beautiful Day in the Neighborhood
Anthony Hopkins,2019,White,2,Non-Winner,Pope Benedict XVI,The Two Popes
Al Pacino,2019,White,3,Non-Winner,Jimmy Hoffa,The Irishman
Joe Pesci,2019,White,4,Non-Winner,Russell Bufalino,The Irishman
Brad Pitt,2019,White,5,Non-Winner,Cliff Booth,Once Upon a Time in Hollywood
