Name,Value,Race,Index,Winner,Role,Film
Gary Cooper,1943,White,3,Non-Winner,Robert Jordan,For Whom the Bell Tolls
Walter Pidgeon,1943,White,4,Non-Winner,Pierre Curie,Madame Curie
Mickey Rooney,1943,White,5,Non-Winner,Homer Macauley,The Human Comedy
Bing Crosby,1944,White,1,Winner,Father Chuck OMalley,Going My Way
Charles Boyer,1944,White,2,Non-Winner,Gregory Anton,Gaslight
Barry Fitzgerald,1944,White,3,Non-Winner,Father Fitzgibbon,Going My Way
Cary Grant,1944,White,4,Non-Winner,Ernie Mott,None but the Lonely Heart
Alexander Knox,1944,White,5,Non-Winner,Woodrow Wilson,Wilson
Ray Milland,1945,White,1,Winner,Don Birnam,The Lost Weekend
Bing Crosby,1945,White,2,Non-Winner,Father Chuck OMalley,The Bells of St Marys
Gene Kelly,1945,White,3,Non-Winner,Joseph Brady,Anchors Aweigh
Gregory Peck,1945,White,4,Non-Winner,Father Francis,The Keys of the Kingdom
Cornel Wilde,1945,White,5,Non-Winner,Frdric Chopin,A Song to Remember
Fredric March,1946,White,1,Winner,Platoon Sergeant Al Stephenson,The Best Years of Our Lives
Laurence Olivier,1946,White,2,Non-Winner,King Henry V of England,Henry V
Larry Parks,1946,White,3,Non-Winner,Al Jolson,The Jolson Story
Gregory Peck,1946,White,4,Non-Winner,Ezra Penny Baxter,The Yearling
James Stewart,1946,White,5,Non-Winner,George Bailey,Its a Wonderful Life
Ronald Colman,1947,White,1,Winner,Anthony John,A Double Life
John Garfield,1947,White,2,Non-Winner,Charlie Davis,Body and Soul
Gregory Peck,1947,White,3,Non-Winner,Philip Schuyler Green,Gentlemans Agreement
William Powell,1947,White,4,Non-Winner,Clarence Day Sr,Life with Father
Michael Redgrave,1947,White,5,Non-Winner,Orin Mannon,Mourning Becomes Electra
Laurence Olivier,1948,White,1,Winner,Hamlet Prince of Denmark,Hamlet
Lew Ayres,1948,White,2,Non-Winner,Dr Robert Richardson,Johnny Belinda
Montgomery Clift,1948,White,3,Non-Winner,Ralph Steve Stevenson,The Search
Dan Dailey,1948,White,4,Non-Winner,Skid Johnson,When My Baby Smiles at Me
Clifton Webb,1948,White,5,Non-Winner,Lynn Aloysius Belvedere,Sitting Pretty
Broderick Crawford,1949,White,1,Winner,Willie Stark,All the Kings Men
Kirk Douglas,1949,White,2,Non-Winner,Michael Midge Kelly,Champion
Gregory Peck,1949,White,3,Non-Winner,Brig General Frank Savage,Twelve OClock High
Richard Todd,1949,White,4,Non-Winner,Cpl Lachlan Lachie MacLachlan,The Hasty Heart
John Wayne,1949,White,5,Non-Winner,Sergeant John M Stryker,Sands of Iwo Jima
Jose Ferrer,1950,Non-White,1,Winner,Cyrano de Bergerac,Cyrano de Bergerac
Louis Calhern,1950,White,1,Non-Winner,Oliver Wendell Holmes,The Magnificent Yankee
William Holden,1950,White,2,Non-Winner,Joe Gillis,Sunset Boulevard
James Stewart,1950,White,3,Non-Winner,Elwood P Dowd,Harvey
Spencer Tracy,1950,White,4,Non-Winner,Stanley T Banks,Father of the Bride
Humphrey Bogart,1951,White,1,Winner,Charlie Allnut,The African Queen
Marlon Brando,1951,White,2,Non-Winner,Stanley Kowalski,A Streetcar Named Desire
Montgomery Clift,1951,White,3,Non-Winner,George Eastman,A Place in the Sun
Arthur Kennedy,1951,White,4,Non-Winner,Larry Nevins,Bright Victory
Fredric March,1951,White,5,Non-Winner,Willy Loman,Death of a Salesman
Jose Ferrer,1952,Non-White,1,Non-Winner,Henri de ToulouseLautrecComte Alphonse de ToulouseLautrec,Moulin Rouge
Gary Cooper,1952,White,1,Winner,Marshal Will Kane,High Noon
Marlon Brando,1952,White,2,Non-Winner,Emiliano Zapata,Viva Zapata
Kirk Douglas,1952,White,3,Non-Winner,Jonathan Shields,The Bad and the Beautiful
Alec Guinness,1952,White,4,Non-Winner,Holland,The Lavender Hill Mob
William Holden,1953,White,1,Winner,Sgt JJ Sefton,Stalag
Marlon Brando,1953,White,2,Non-Winner,Mark Antony,Julius Caesar
Richard Burton,1953,White,3,Non-Winner,Marcellus Gallio,The Robe
Montgomery Clift,1953,White,4,Non-Winner,Pvt Robert E Lee Prew Prewitt,From Here to Eternity
Burt Lancaster,1953,White,5,Non-Winner,st Sgt Milton Warden,
Marlon Brando,1954,White,1,Winner,Terry Malloy,On the Waterfront
Humphrey Bogart,1954,White,2,Non-Winner,Lt Cmdr Philip Francis Queeg,The Caine Mutiny
Bing Crosby,1954,White,3,Non-Winner,Frank Elgin,The Country Girl
James Mason,1954,White,4,Non-Winner,Norman Maine,A Star Is Born
Dan OHerlihy,1954,White,5,Non-Winner,Robinson Crusoe,Robinson Crusoe
Ernest Borgnine,1955,White,1,Winner,Marty Piletti,Marty
James Cagney,1955,White,2,Non-Winner,Martin Snyder,Love Me or Leave Me
James Dean,1955,White,3,Non-Winner,Cal Trask,East of Eden
Frank Sinatra,1955,White,4,Non-Winner,Frankie Machine,The Man with the Golden Arm
Spencer Tracy,1955,White,5,Non-Winner,John J Macreedy,Bad Day at Black Rock
Yul Brynner,1956,White,1,Winner,King Mongkut of Siam,The King and I
James Dean,1956,White,2,Non-Winner,Jett Rink,Giant
Kirk Douglas,1956,White,3,Non-Winner,Vincent van Gogh,Lust for Life
Rock Hudson,1956,White,4,Non-Winner,Jordan Bick Benedict Jr,Giant
Laurence Olivier,1956,White,5,Non-Winner,King Richard III of England,Richard III
Anthony Quinn,1957,Non-White,1,Non-Winner,Gino,Wild Is the Wind
Alec Guinness,1957,White,1,Winner,Lt Colonel Nicholson,The Bridge on the River Kwai
Marlon Brando,1957,White,2,Non-Winner,Major Lloyd Ace Gruver USAF,Sayonara
Anthony Franciosa,1957,White,3,Non-Winner,Polo Pope,A Hatful of Rain
Charles Laughton,1957,White,4,Non-Winner,Sir Wilfrid Robarts,Witness for the Prosecution
Sidney Poitier,1958,Non-White,1,Non-Winner,Noah Cullen,The Defiant Ones
David Niven,1958,White,1,Winner,Major Angus Pollock,Separate Tables
Tony Curtis,1958,White,2,Non-Winner,John Joker Jackson,The Defiant Ones
Paul Newman,1958,White,3,Non-Winner,Brick Pollitt,Cat on a Hot Tin Roof
Spencer Tracy,1958,White,4,Non-Winner,The Old Man,The Old Man and the Sea
Charlton Heston,1959,White,1,Winner,Judah BenHur,BenHur
Laurence Harvey,1959,White,2,Non-Winner,Joe Lampton,Room at the Top
Jack Lemmon,1959,White,3,Non-Winner,Jerry Daphne,Some Like It Hot
Paul Muni,1959,White,4,Non-Winner,Dr Sam Abelman,The Last Angry Man
James Stewart,1959,White,5,Non-Winner,Paul Biegler,Anatomy of a Murder
Burt Lancaster,1960,White,1,Winner,Elmer Gantry,Elmer Gantry
Trevor Howard,1960,White,2,Non-Winner,Walter Morel,Sons and Lovers
Jack Lemmon,1960,White,3,Non-Winner,C C Bud Baxter,The Apartment
Laurence Olivier,1960,White,4,Non-Winner,Archie Rice,The Entertainer
Spencer Tracy,1960,White,5,Non-Winner,Henry Drummond,Inherit the Wind
Maximilian Schell,1961,White,1,Winner,Hans Rolfe,Judgment at Nuremberg
Charles Boyer,1961,White,2,Non-Winner,Cesar,Fanny
Paul Newman,1961,White,3,Non-Winner,Eddie Felson,The Hustler
Spencer Tracy,1961,White,4,Non-Winner,Chief Judge Dan Haywood,Judgment at Nuremberg
